,Site.ID,From (m),To (m),Depth,Material.simplified,Deposit.type,Deposit.type.conf,Mid_VI,EI_pred
97,I401A - 33,5.9,7.2,6.55,Fine,Glaciolacustrine,2,45,0.26575462
98,I401A - 34,3,3.8,3.4,Fine,Glaciolacustrine,2,45,0.287956026
99,I401A - 34,2.3,3,2.65,Fine,Glaciolacustrine,2,0,0.14972802
100,I401A - 34,3.8,6.1,4.95,Fine,Glaciolacustrine,2,8,0.159064782
101,I401A - 35,2.4,6.1,4.25,Fine,Glaciolacustrine,2,0,0.14266385
102,I401A - 35,1.5,2.4,1.95,Fine,Glaciolacustrine,2,8,0.173761742
103,I401A - 35,0.5,1.5,1,Fine,Glaciolacustrine,2,0,0.157308605
104,I401A - 43,3,4.6,3.8,Fine,Glaciolacustrine,2,0,0.14462243
105,I401A - 43,4.6,6.1,5.35,Fine,Glaciolacustrine,2,45,0.274083354
106,I401A - 52,4.1,5.6,4.85,Fine,Glaciolacustrine,2,0,0.140086445
107,I401A - 52,2.6,3.4,3,Fine,Glaciolacustrine,2,0,0.148158799
108,I401A - 52,1.1,2.3,1.7,Fine,Glaciolacustrine,2,0,0.154055578
109,I401A - 52,2.3,2.6,2.45,Fine,Glaciolacustrine,2,8,0.171240629
110,I401A - 52,3.4,4.1,3.75,Fine,Glaciolacustrine,2,8,0.164820262
111,I401A - 57,0,3.8,1.9,Fine,Glaciolacustrine,2,0,0.15313619
112,I401A - 57,7.6,9.1,8.35,Fine,Glaciolacustrine,2,0,0.125811032
113,I401A - 59,5.8,9.1,7.45,Fine,Glaciolacustrine,2,0,0.12935989
114,I401A - 60,1.8,3,2.4,Fine,Glaciolacustrine,2,45,0.295228977
115,I401A - 60,0,1.8,0.9,Fine,Glaciolacustrine,2,45,0.306334286
116,I401A - 61,6.1,7,6.55,Fine,Glaciolacustrine,2,0,0.132992479
117,I401A - 64,2.3,6.1,4.2,Fine,Glaciolacustrine,2,0,0.142880386
118,I401A - 64,0,1.5,0.75,Fine,Glaciolacustrine,2,0,0.158483712
119,I401A - 64,1.5,2.3,1.9,Fine,Glaciolacustrine,2,45,0.298904916
120,I401A - 68,1.8,6.1,3.95,Fine,Glaciolacustrine,2,8,0.163849665
121,I401A - P6,0,1.2,0.6,Fine,Glaciolacustrine,3,45,0.126657374
122,I401A - P6,1.5,9.1,5.3,Fine,Glaciolacustrine,3,0,0.048949601
123,I401A - P6,1.2,1.5,1.35,Fine,Glaciolacustrine,3,45,0.123746632
