"","Borehole.ID","Top.depth","Bottom.depth","Depth","Thickness","Material","Material.simplified","ASTM","Reinterpreted","Frozen","Visible.ice","Mid_VI","Cryostructures","VRM","Slope","Organic.cover..m.","Mineral.soil..logs..first.3.m.","Surficial.materials..Rampton.1987.map.","Holocene.deposits","Holocene.conf","Deposit.type","Deposit.type.conf","Notes","predicted_EI_beta"
"224","PW12 - 67",4,7.2,5.6,3.2,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx/Vr","Smooth","Undulating",0.1,"Silt/clay","Colluvial","Organics",3,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.109478568954156
"225","PW12 - 68",1.1,4.1,2.6,3,"Clay","Fine","CL","No","Yes","No visible ice",0,"Nf","Smooth","Undulating",0.1,"Silt/clay","Colluvial","Organics",3,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.0550195224502506
"226","PW12 - 68",4.1,7.2,5.65,3.1,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx/Vr","Smooth","Undulating",0.1,"Silt/clay","Colluvial","Organics",3,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.109307777424673
"227","PW12 - 69",5.6,7.2,6.4,1.6,"Clay","Fine","CL","No","Yes","No visible ice",0,"Nbn","Smooth","Flat",0.1,"Silt/clay","Hummocky","Organics",3,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.0484893485988326
"228","PW12 - 69",2.6,4.1,3.35,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx/Vr","Smooth","Flat",0.1,"Silt/clay","Hummocky","Organics",3,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.117409671159059
"229","PW12 - 69",2,2.6,2.3,0.6,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx/Nbe","Smooth","Flat",0.1,"Silt/clay","Hummocky","Organics",3,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.121278531803009
"230","PW12 - 69",4.1,5.6,4.85,1.5,"Clay","Fine","CL","No","Yes","Low",8,"Vx/Nbn","Smooth","Flat",0.1,"Silt/clay","Hummocky","Organics",3,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.0589230285235977
"231","PW12 - 70",3.5,4.1,3.8,0.6,"Clay","Fine","CL","No","Yes","Low",8,"Vx","Smooth","Flat",0.1,"Silt/clay","Hummocky","Organics",3,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.0609978447123207
"232","PW12 - 70",5.6,7.2,6.4,1.6,"Clay","Fine","CL","No","Yes","Medium to high",45,"","Smooth","Flat",0.1,"Silt/clay","Hummocky","Organics",3,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.106773836756445
"233","PW12 - 70",4.1,5.6,4.85,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx/Vr","Smooth","Flat",0.1,"Silt/clay","Hummocky","Organics",3,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.112068644534347
"234","PW12 - 70",2.6,3.5,3.05,0.9,"Clay","Fine","CL","No","Yes","No visible ice",0,"Nbn","Smooth","Flat",0.1,"Silt/clay","Hummocky","Organics",3,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.05420495878766
"235","PW12 - 71",0.1,0.9,0.5,0.8,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx/Nbe","Smooth","Undulating",0.1,"Clay","Hummocky","Organics",3,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.128166422487394
"236","PW12 - 71",1.5,4,2.75,2.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx","Smooth","Undulating",0.1,"Clay","Hummocky","Organics",3,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.119607165611075
"237","PW12 - 71",0.9,1.5,1.2,0.6,"Clay","Fine","CL","No","Yes","Medium to high",45,"","Smooth","Undulating",0.1,"Clay","Hummocky","Organics",3,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.12544898738034
"238","PW12 - 71",5.5,7,6.25,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx/Vr","Smooth","Undulating",0.1,"Clay","Hummocky","Organics",3,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.10727645212042
"239","PW12 - 71",4,5.5,4.75,1.5,"Clay","Fine","CL","No","Yes","Low",8,"","Smooth","Undulating",0.1,"Clay","Hummocky","Organics",3,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.0591177447103146
"240","PW12 - 72",1.1,2.6,1.85,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx","Smooth","Undulating",0.6,"Clay","Hummocky","Organics",3,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.122969991140355
"241","PW12 - 72",4.1,7.2,5.65,3.1,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx/Vr","Smooth","Undulating",0.6,"Clay","Hummocky","Organics",3,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.109307777424673
"242","PW12 - 72",2.6,4.1,3.35,1.5,"Clay","Fine","CL","No","Yes","Low",8,"","Smooth","Undulating",0.6,"Clay","Hummocky","Organics",3,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.0619078065713835
"243","PW12 - P1",1.5,3.1,2.3,1.6,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vr","Smooth","Undulating",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.121278531803009
"244","PW12 - P1",0,1.5,0.75,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx","Smooth","Undulating",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.127190192578752
"245","PW12 - P1",3.1,6.1,4.6,3,"Clay","Fine","CL","No","Yes","Low",8,"Nbe","Smooth","Undulating",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.0594109499297483
"246","PW12 - P2",1.5,6.1,3.8,4.6,"Clay","Fine","CL","No","Yes","Low",8,"Nbe","Smooth","Undulating",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.0609978447123207
"247","PW12 - P2",0,1.5,0.75,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx","Smooth","Undulating",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.127190192578752
"248","PW12 - P3",1.5,4.6,3.05,3.1,"Clay","Fine","CL","No","Yes","Low",8,"Nbe","Smooth","Flat",0.6,"Silt/clay","Hummocky","Organics",3,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.0625214755382925
"249","PW12 - P3",4.6,10.1,7.35,5.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vr","Smooth","Flat",0.6,"Silt/clay","Hummocky","Organics",3,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.10363853599523
"250","PW12 - P4",1.5,3,2.25,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vr","Smooth","Undulating",0,"Clay","Colluvial","None",2,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.121465476715843
"251","PW12 - P4",3,8,5.5,5,"Clay","Fine","CL","No","Yes","Medium to high",45,"","Smooth","Undulating",0,"Clay","Colluvial","None",2,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.10982085425176
"252","PW12 - P4",8,9.1,8.55,1.1,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vr","Smooth","Undulating",0,"Clay","Colluvial","None",2,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.0997947405990963
"253","PW12 - P4",9.1,10.1,9.6,1,"Clay","Fine","CL","No","Yes","Low",8,"Nbe","Smooth","Undulating",0,"Clay","Colluvial","None",2,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.0503387058850376
"254","PW12 - P4",0,1.5,0.75,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx","Smooth","Undulating",0,"Clay","Colluvial","None",2,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.127190192578752
"255","PW12 - P5",6,10.3,8.15,4.3,"Clay","Fine","CL","No","Yes","No visible ice",0,"Nbn","Smooth","Flat",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.0457356394776321
"256","PW12 - P5",4.6,6,5.3,1.4,"Clay","Fine","CL","No","Yes","Low",8,"Vr/Nbn","Smooth","Flat",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.0580542238533023
"257","PW12 - P5",3,4.6,3.8,1.6,"Clay","Fine","CL","No","Yes","No visible ice",0,"Nbn","Smooth","Flat",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.0528725687518462
"258","PW12 - P5",0,1.5,0.75,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx","Smooth","Flat",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.127190192578752
"259","PW12 - P5",1.5,3,2.25,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"","Smooth","Flat",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"Near river and thermokarst lakes",0.121465476715843
"260","PW13 - 21",0,1.5,0.75,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx","Smooth","Flat",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.127190192578752
"261","PW13 - 21",1.5,5.3,3.4,3.8,"Clay","Fine","CL","No","Yes","Medium to high",45,"","Smooth","Flat",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.117228135514984
"262","PW13 - 33",1.5,3,2.25,1.5,"Clay","Fine","CL","No","Yes","Low",8,"Vx","Smooth","Undulating",0,"Clay","Colluvial","None",2,"Glaciolacustrine",3,"",0.0641857843168573
"263","PW13 - 33",0,1.5,0.75,1.5,"Clay","Fine","CL","No","Yes","Low",8,"Vx/Vc","Smooth","Undulating",0,"Clay","Colluvial","None",2,"Glaciolacustrine",3,"",0.0674180519729253
"264","PW13 - 33",4.6,6.1,5.35,1.5,"Clay","Fine","CL","No","Yes","No visible ice",0,"Nbn","Smooth","Undulating",0,"Clay","Colluvial","None",2,"Glaciolacustrine",3,"",0.0502163751156366
"265","PW13 - 33",3,4.6,3.8,1.6,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx/Vc","Smooth","Undulating",0,"Clay","Colluvial","None",2,"Glaciolacustrine",3,"",0.115784597200736
"266","PW13 - 58",6.1,7.6,6.85,1.5,"Clay","Fine","CL","No","Yes","No visible ice",0,"Nf","Smooth","Undulating",0.2,"Clay","Till blanket","None",2,"Glaciolacustrine",3,"",0.0477665772075954
"267","PW13 - 58",0.2,1.8,1,1.6,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx","Smooth","Undulating",0.2,"Clay","Till blanket","None",2,"Glaciolacustrine",3,"",0.126220321979944
"268","PW13 - 58",4.6,6.1,5.35,1.5,"Clay","Fine","CL","No","Yes","Low",8,"","Smooth","Undulating",0.2,"Clay","Till blanket","None",2,"Glaciolacustrine",3,"",0.0579584353375148
"269","PW13 - 58",3,4.6,3.8,1.6,"Clay","Fine","CL","No","Yes","Low",8,"Vx/Nf","Smooth","Undulating",0.2,"Clay","Till blanket","None",2,"Glaciolacustrine",3,"",0.0609978447123207
"270","PW13 - 58",1.8,3,2.4,1.2,"Clay","Fine","CL","No","Yes","No visible ice",0,"Nf","Smooth","Undulating",0.2,"Clay","Till blanket","None",2,"Glaciolacustrine",3,"",0.0553852395415883
"271","PW13 - 61",3,6.1,4.55,3.1,"Clay","Fine","CL","No","Yes","No visible ice",0,"Nf","Smooth","Undulating",0,"Clay","Till blanket","None",2,"Glaciolacustrine",3,"",0.0515711438506904
"272","PW13 - 61",1.5,3,2.25,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx/Nf","Smooth","Undulating",0,"Clay","Till blanket","None",2,"Glaciolacustrine",3,"",0.121465476715843
"273","PW13 - 61",0,1.5,0.75,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx","Smooth","Undulating",0,"Clay","Till blanket","None",2,"Glaciolacustrine",3,"",0.127190192578752
"274","PW13 - P1",2.3,3.6,2.95,1.4,"Clay","Fine","CL-ML","No","Yes","No visible ice",0,"Nbn","Smooth","Undulating",0,"Silt/clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.0543849847310839
"275","PW13 - P1",8,10.6,9.3,2.6,"Clay","Fine","CL-ML","No","Yes","Medium to high",45,"Vx","Smooth","Undulating",0,"Silt/clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.097457198707028
"276","PW13 - P1",4.2,8,6.1,3.8,"Clay","Fine","CL-ML","No","Yes","Medium to high",45,"","Smooth","Undulating",0,"Silt/clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.107781147952317
"277","PW13 - P1",3.6,4.2,3.9,0.6,"Clay","Fine","CL-ML","No","Yes","Medium to high",45,"Vx","Smooth","Undulating",0,"Silt/clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.115426134522628
"278","PW13 - P2",0,2.5,1.25,2.5,"Clay","Fine","CL-ML","No","Yes","Medium to high",45,"Vx","Smooth","Flat",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.125256785647865
"279","PW13 - P3",3.4,8,5.7,4.6,"Clay","Fine","CL-ML","No","Yes","No visible ice",0,"Nbn","Smooth","Undulating",0,"Silt","Colluvial","None",2,"Glaciolacustrine",3,"",0.0496343223324557
"280","PW13 - P4",1.5,6.1,3.8,4.6,"Clay","Fine","CL","No","Yes","Low",8,"Vx","Smooth","Undulating",0,"Clay","Till blanket","None",2,"Glaciolacustrine",3,"",0.0609978447123207
"281","PW13 - P4",0,1.5,0.75,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx/Vc","Smooth","Undulating",0,"Clay","Till blanket","None",2,"Glaciolacustrine",3,"",0.127190192578752
"282","PW13 - P5",1.5,3,2.25,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"","Smooth","Flat",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.121465476715843
"283","PW13 - P5",0,1.5,0.75,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx","Smooth","Flat",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.127190192578752
"284","PW13 - P5",4.6,6.1,5.35,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"","Smooth","Flat",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.110336041061825
"285","PW13 - P5",3,4.6,3.8,1.6,"Clay","Fine","CL","No","Yes","Low",8,"","Smooth","Flat",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.0609978447123207
"286","PW13 - P6",0,1.5,0.75,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx","Smooth","Flat",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.127190192578752
"287","PW13 - P6",4.6,9.2,6.9,4.6,"Clay","Fine","CL","No","Yes","No visible ice",0,"Nf","Smooth","Flat",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.047686903792166
"288","PW13 - P6",3,4.6,3.8,1.6,"Clay","Fine","CL","No","Yes","Low",8,"","Smooth","Flat",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.0609978447123207
"289","PW13 - P6",1.5,3,2.25,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"","Smooth","Flat",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.121465476715843
"290","PW17 - 22",3.1,6.1,4.6,3.1,"Clay","Fine","CL","No","Yes","Medium to high",45,"","Smooth","Rolling",0,"Clay","Colluvial","None",2,"Glaciolacustrine",3,"",0.112943830073163
"291","PW17 - 22",1.5,3.1,2.3,1.5,"Clay","Fine","CL","No","Yes","Low",8,"","Smooth","Rolling",0,"Clay","Colluvial","None",2,"Glaciolacustrine",3,"",0.06408056708472
"292","PW17 - 22",0,1.5,0.75,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx/Vc","Smooth","Rolling",0,"Clay","Colluvial","None",2,"Glaciolacustrine",3,"",0.127190192578752
"293","PW17 - P1",0,1.5,0.75,1.5,"Clay","Fine","CL","No","Yes","High",87,"Vx/Vc","Smooth","Undulating",0,"Clay","Colluvial","None",2,"Glaciolacustrine",3,"",0.244107042739019
"294","PW17 - P1",3.1,6.1,4.6,3.1,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx/Vc","Smooth","Undulating",0,"Clay","Colluvial","None",2,"Glaciolacustrine",3,"",0.112943830073163
"295","PW17 - P1",1.5,3.1,2.3,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx","Smooth","Undulating",0,"Clay","Colluvial","None",2,"Glaciolacustrine",3,"",0.121278531803009
"296","PW17 - P4",0.6,1.5,1.05,0.9,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx/Vc","Smooth","Undulating",0.6,"Clay","Colluvial","Organics",3,"Glaciolacustrine",3,"",0.126027108776371
"297","PW17 - P4",1.5,3.1,2.3,1.5,"Clay","Fine","CL","No","Yes","Low",8,"Vx","Smooth","Undulating",0.6,"Clay","Colluvial","Organics",3,"Glaciolacustrine",3,"",0.06408056708472
"298","PW17 - P5",0,1.5,0.75,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx/Vc","Smooth","Rolling",0,"Clay","Colluvial","None",2,"Glaciolacustrine",3,"",0.127190192578752
"299","PW17 - P5",1.5,3.1,2.3,1.6,"Clay","Fine","CL","No","Yes","High",87,"","Smooth","Rolling",0,"Clay","Colluvial","None",2,"Glaciolacustrine",3,"",0.234219479646626
"300","PW17 - P7",2.4,3.1,2.75,0.6,"Clay","Fine","CL","No","Yes","No visible ice",0,"Nf","Smooth","Rolling",0,"Silt/clay","Colluvial","None",2,"Glaciolacustrine",3,"",0.0547467283783746
"301","PW17 - P7",3.1,4.6,3.85,1.5,"Clay","Fine","CL","No","Yes","Low",8,"Vx/Vc","Smooth","Rolling",0,"Silt/clay","Colluvial","None",2,"Glaciolacustrine",3,"",0.0608975132744431
"302","PW18 - P2",1.5,6.1,3.8,4.6,"Clay","Fine","CL","No","Yes","No visible ice",0,"Nf","Moderately rugged","Undulating",0,"Sand/clay","Colluvial","Colluvial",2,"Glaciolacustrine",2,"Near thaw slump",0.145686434427427
"303","PW18 - P4",0,1.1,0.55,1.1,"Clay","Fine","CL","No","Yes","Low",8,"Vx","Smooth","Rolling",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"Near thaw slump",0.0678602643909841
"304","PW6 - P19",6.7,8,7.35,1.3,"Clay","Fine","CH","No","Yes","Medium to high",45,"","Smooth","Rolling",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"Outide of LiDAR DEM range",0.10363853599523
"305","PW6 - P19",8.2,10.1,9.15,1.9,"Clay","Fine","CH","No","Yes","Medium to high",45,"","Smooth","Rolling",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"Outide of LiDAR DEM range",0.0979207657262231
"306","PW6 - P19",8,8.2,8.1,0.2,"Clay","Fine","CH","No","Yes","Medium to high",45,"Vx","Smooth","Rolling",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"Outide of LiDAR DEM range",0.101221082720702
"307","PW6 - P19",0.9,1.8,1.35,0.9,"Clay","Fine","CH","No","Yes","Low",8,"Nbe","Smooth","Rolling",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"Outide of LiDAR DEM range",0.066107408545641
"308","PW6 - P19",3.7,6.7,5.2,3.1,"Clay","Fine","CH","No","Yes","Medium to high",45,"Vx","Smooth","Rolling",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"Outide of LiDAR DEM range",0.110853343728794
"309","PW6 - P19",1.8,3.7,2.75,1.9,"Clay","Fine","CH","No","Yes","No visible ice",0,"Nbn","Smooth","Rolling",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"Outide of LiDAR DEM range",0.0547467283783746
"310","PW6 - P19",0,0.9,0.45,0.9,"Clay","Fine","CH","No","Yes","Medium to high",45,"Vx","Smooth","Rolling",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"Outide of LiDAR DEM range",0.128362433778726
"311","PW6 - P21",7.5,9,8.25,1.5,"Clay","Fine","CH","No","Yes","Low",8,"Nbe","Smooth","Rolling",0.3,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"Outide of LiDAR DEM range",0.0526501579658154
"312","PW6 - P21",2,3,2.5,1,"Clay","Fine","CH","No","Yes","No visible ice",0,"Nbn","Smooth","Rolling",0.3,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"Outide of LiDAR DEM range",0.0552020958299411
"313","PW6 - P4",0.2,1.5,0.85,1.3,"Clay","Fine","CL","No","Yes","Low",8,"Vc","Smooth","Undulating",0.2,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"Outide of LiDAR DEM range",0.0671979495904894
"314","PW6 - P4",8,9,8.5,1,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vc","Smooth","Undulating",0.2,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"Outide of LiDAR DEM range",0.0999523361856761
"315","PW6 - P4",3,4.5,3.75,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"","Smooth","Undulating",0.2,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"Outide of LiDAR DEM range",0.115964191081302
"316","PW6 - P4",4.5,6,5.25,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vc","Smooth","Undulating",0.2,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"Outide of LiDAR DEM range",0.110680674049096
"317","PW6 - P4",6,8,7,2,"Clay","Fine","CL","No","Yes","Medium to high",45,"","Smooth","Undulating",0.2,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"Outide of LiDAR DEM range",0.104784061257692
"318","PW6 - P4",1.5,3,2.25,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vr","Smooth","Undulating",0.2,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"Outide of LiDAR DEM range",0.121465476715843
"319","PW6 - P5",8.5,10.1,9.3,1.6,"Clay","Fine","CH","No","Yes","Low",8,"Vx","Smooth","Rolling",0,"Silt/sand","Hummocky","None",2,"Glaciolacustrine",2,"Outide of LiDAR DEM range",0.140625362129817
"320","PW6 - P6",1.5,3,2.25,1.5,"Clay","Fine","CH","No","Yes","Medium to high",45,"Vx/Vr","Smooth","Flat",0.2,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"Outide of LiDAR DEM range",0.121465476715843
"321","PW6 - P6",3,6,4.5,3,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vr","Smooth","Flat",0.2,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"Outide of LiDAR DEM range",0.113295571163962
"322","PW6 - P6",0.2,1.5,0.85,1.3,"Clay","Fine","CL","No","Yes","No visible ice",0,"Nbn","Smooth","Flat",0.2,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"Outide of LiDAR DEM range",0.0582980582897179
"323","PW6 - P6",6,7.8,6.9,1.8,"Clay","Fine","CL","No","Yes","No visible ice",0,"Nbn","Smooth","Flat",0.2,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"Outide of LiDAR DEM range",0.047686903792166
"324","PW9 - P1",6.1,7.6,6.85,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx/Vr","Smooth","Undulating",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.105278414131152
"325","PW9 - P1",8,10.1,9.05,2.1,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx/Vr","Smooth","Undulating",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.0982309015019455
"326","PW9 - P1",1.5,3,2.25,1.5,"Clay","Fine","CL","No","Yes","High",87,"Vc/Vx","Smooth","Undulating",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.234534051438559
"327","PW9 - P1",7.6,8,7.8,0.4,"Clay","Fine","CL","No","Yes","Medium to high",45,"","Smooth","Undulating",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.102182001548343
"328","PW9 - P1",0,1.5,0.75,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vc","Smooth","Undulating",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.127190192578752
"329","PW9 - P2",0,1.5,0.75,1.5,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx/Vr","Smooth","Undulating",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.127190192578752
"330","PW9 - P2",4.6,8,6.3,3.4,"Clay","Fine","CL","No","Yes","Medium to high",45,"Vx","Smooth","Undulating",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.107108682795324
"331","PW9 - P2",1.5,4.6,3.05,3.1,"Clay","Fine","CL","No","Yes","Medium to high",45,"","Smooth","Undulating",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.118504009536497
"332","PW9 - P2",8,10.1,9.05,2.1,"Clay","Fine","CL","No","Yes","Medium to high",45,"","Smooth","Undulating",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.0982309015019455
"333","PW9 - P3",10.1,10.7,10.4,0.6,"Clay","Fine","CL","No","Yes","Low",8,"Nbe","Smooth","Undulating",0.2,"Clay","Hummocky","Organics",3,"Glaciolacustrine",3,"",0.0490146399835623
"334","PW9 - P3",8.2,10.1,9.15,1.9,"Clay","Fine","CL","No","Yes","Low",8,"","Smooth","Undulating",0.2,"Clay","Hummocky","Organics",3,"Glaciolacustrine",3,"",0.0510983084886983
"335","PW9 - P3",3,8.2,5.6,5.2,"Clay","Fine","CL","No","Yes","Low",8,"Vx/Vr","Smooth","Undulating",0.2,"Clay","Hummocky","Organics",3,"Glaciolacustrine",3,"",0.0574817139166884
"336","PW9 - P3",0.2,3,1.6,2.9,"Clay","Fine","CL","No","Yes","Low",8,"Nbe","Smooth","Undulating",0.2,"Clay","Hummocky","Organics",3,"Glaciolacustrine",3,"",0.0655683252016631
"337","PW9 - P8",2.6,6.7,4.65,4.1,"Clay","Fine","CH","No","Yes","Medium to high",45,"","Smooth","Flat",1.5,"Clay","Hummocky","Organics",3,"Glaciolacustrine",3,"",0.112768317146192
"338","PW9 - P8",2.4,2.6,2.5,0.2,"Clay","Fine","CH","No","Yes","Medium to high",45,"Vx/Vr","Smooth","Flat",1.5,"Clay","Hummocky","Organics",3,"Glaciolacustrine",3,"",0.120533230728794
"339","PW9 - P8",6.7,7.2,6.95,0.5,"Clay","Fine","CH","No","Yes","High",87,"","Smooth","Flat",1.5,"Clay","Hummocky","Organics",3,"Glaciolacustrine",3,"",0.206251710638055
"340","PW9 - P8",1.5,2.4,1.95,0.9,"Clay","Fine","CH","No","Yes","Low",8,"","Smooth","Flat",1.5,"Clay","Hummocky","Organics",3,"Glaciolacustrine",3,"",0.0648204737379658
"341","W14103137-AH18.15N",4.9,5.2,5.05,0.3,"Clay","Fine","","No","Yes","Low",8,"Nbe","Smooth","Undulating",0.2,"Clay","Hummocky","Organics",3,"Glaciolacustrine",3,"",0.0585353984726866
"342","W14103137-AH18.15N",0.2,3.5,1.85,3.3,"Clay","Fine","","No","Yes","Medium to high",45,"Vx","Smooth","Undulating",0.2,"Clay","Hummocky","Organics",3,"Glaciolacustrine",3,"",0.122969991140355
"343","W14103137-AH18.15S",5.5,5.8,5.65,0.3,"Clay","Fine","","No","Yes","Medium to high",45,"Vx","Smooth","Undulating",0,"Clay","Hummocky","None",2,"Glaciolacustrine",3,"",0.109307777424673
