Borehole.ID,Top.depth,Bottom.depth,Depth,Thickness,Material,Material.simplified,ASTM,Reinterpreted,Frozen,Visible.ice,Mid_VI,Cryostructures,VRM,Slope,Organic.cover..m.,Mineral.soil..logs..first.3.m.,Surficial.materials..Rampton.1987.map.,Holocene.deposits,Holocene.conf,Deposit.type,Deposit.type.conf,Notes
GSC4 - 5,0,1.8,0.9,1.8,Clay,Fine,CL-ML,No,Yes,Medium to high,45,Vx,Smooth,Undulating,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
GSC4 - 5,1.8,3.4,2.6,1.5,Clay,Fine,CL-ML,No,Yes,Low,8,,Smooth,Undulating,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
GSC4 - 5,4.9,6.1,5.5,1.2,Clay,Fine,CL-ML,No,Yes,Low,8,Nbe,Smooth,Undulating,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
GSC4 - 55,1.5,1.9,1.7,0.4,Clay,Fine,CL-ML,No,Yes,Low,8,Vx,Smooth,Rolling,0.9,Clay,Hummocky,Organics,3,Glaciolacustrine,3,
GSC4 - 6,5.5,6.1,5.8,0.6,Clay,Fine,CL-ML,No,Yes,Low,8,Vx/Nbn,Smooth,Undulating,0.3,Clay,Hummocky,Organics,3,Glaciolacustrine,3,
GSC4 - 6,0.3,5.5,2.9,5.2,Clay,Fine,CL-ML,No,Yes,Medium to high,45,,Smooth,Undulating,0.3,Clay,Hummocky,Organics,3,Glaciolacustrine,3,
GSC4 - 7,1.2,3.1,2.15,1.8,Clay,Fine,CL-ML,No,Yes,Low,8,,Smooth,Undulating,1.2,Clay,Hummocky,Organics,3,Glaciolacustrine,3,
GSC4 - 8,3.1,5.2,4.15,2.1,Clay,Fine,CL-ML,No,Yes,Medium to high,45,,Smooth,Undulating,0.2,Silt/clay,Hummocky,Organics,3,Glaciolacustrine,3,
GSC4 - 8,5.2,6.1,5.65,0.9,Clay,Fine,CL-ML,No,Yes,No visible ice,0,Nbn,Smooth,Undulating,0.2,Silt/clay,Hummocky,Organics,3,Glaciolacustrine,3,
GSC4 - 8,1.5,3.1,2.3,1.5,Clay,Fine,CL-ML,No,Yes,Low,8,,Smooth,Undulating,0.2,Silt/clay,Hummocky,Organics,3,Glaciolacustrine,3,
GSC4 - 9,1.3,3.1,2.2,1.8,Clay,Fine,CL-ML,No,Yes,No visible ice,0,Nbn,Smooth,Undulating,1.3,Clay,Hummocky,Organics,3,Glaciolacustrine,3,
I401A - 33,4.4,5.9,5.15,1.5,Clay,Fine,CL-ML,No,Yes,No visible ice,0,Nbn,Rugged,Undulating,0,Silt,Colluvial,Colluvial,2,Glaciolacustrine,2,
I401A - 33,7.2,7.6,7.4,0.4,Clay,Fine,CL-ML,No,Yes,No visible ice,0,Nbn,Rugged,Undulating,0,Silt,Colluvial,Colluvial,2,Glaciolacustrine,2,
I401A - 33,5.9,7.2,6.55,1.3,Clay,Fine,CL-ML,No,Yes,Medium to high,45,Vx,Rugged,Undulating,0,Silt,Colluvial,Colluvial,2,Glaciolacustrine,2,
I401A - 34,3,3.8,3.4,0.8,Clay,Fine,CL-ML,No,Yes,Medium to high,45,Vx,Rugged,Undulating,0,Till/clay,Colluvial,Colluvial,1,Glaciolacustrine,2,
I401A - 34,2.3,3,2.65,0.7,Clay,Fine,CL-ML,No,Yes,No visible ice,0,,Rugged,Undulating,0,Till/clay,Colluvial,Colluvial,1,Glaciolacustrine,2,
I401A - 34,3.8,6.1,4.95,2.3,Clay,Fine,CL-ML,No,Yes,Low,8,,Rugged,Undulating,0,Till/clay,Colluvial,Colluvial,1,Glaciolacustrine,2,
I401A - 35,2.4,6.1,4.25,3.7,Clay,Fine,CL-ML,No,Yes,No visible ice,0,Nbn,Rugged,Flat,0,Sand/clay,Colluvial,Colluvial,2,Glaciolacustrine,2,
I401A - 35,1.5,2.4,1.95,0.9,Clay,Fine,CL,No,Yes,Low,8,Vx/Vr,Rugged,Flat,0,Sand/clay,Colluvial,Colluvial,2,Glaciolacustrine,2,
I401A - 35,0.5,1.5,1,1,Clay,Fine,CL,No,Yes,No visible ice,0,Nbn,Rugged,Flat,0,Sand/clay,Colluvial,Colluvial,2,Glaciolacustrine,2,
