Site ID,SampleID,From (m),To (m),Depth,Log depth,Material,Material.simplified,Material code,Organics code,VI num 1,VI num 2,Visible ice 1,Visible ice 2,Lower_VI,Upper_VI,Mid_VI,Excess ice (%),EI,Presence,EITrans,Holocene deposit,Holocene conf,Deposit.type,Deposit.type.conf
HUS_P (NTGS 8),NTGS17-BH08-31-C,9.5,10,9.75,0.989004616,Clay,Fine,1,0,50,87,Medium to high,High,16,74,45,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
HUS_P (NTGS 8),NTGS17-BH08-21-C,10,10.5,10.25,1.010723865,Clay,Fine,1,0,50,75,Medium to high,High,16,74,45,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
HUS_P (NTGS 8),NTGS17-BH08-32-C,10,10.5,10.25,1.010723865,Clay,Fine,1,0,50,75,Medium to high,High,16,74,45,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
HUS_P (NTGS 8),NTGS17-BH08-22-C,10.5,11,10.75,1.031408464,Clay,Fine,1,0,50,75,Medium to high,High,16,74,45,0,0,0,0.001412429,Organics,3,Glaciolacustrine,3
HUS_P (NTGS 8),NTGS17-BH08-16-C,7.5,8,7.75,0.889301703,Clay,Fine,1,0,50,87,Medium to high,High,16,74,45,2.56,0.0256,1,0.026940113,Organics,3,Glaciolacustrine,3
HUS_P (NTGS 8),NTGS17-BH08-15-C,7,7.5,7.25,0.860338007,Clay,Fine,1,0,50,87,Medium to high,High,16,74,45,2.72,0.0272,1,0.028535593,Organics,3,Glaciolacustrine,3
HUS_P (NTGS 8),NTGS17-BH08-26-C,7,7.5,7.25,0.860338007,Clay,Fine,1,0,50,87,Medium to high,High,16,74,45,5.43,0.0543,1,0.05555904,Organics,3,Glaciolacustrine,3
HUS_P (NTGS 8),NTGS17-BH08-27-C,7.5,8,7.75,0.889301703,Clay,Fine,1,0,50,87,Medium to high,High,16,74,45,6.38,0.0638,1,0.065032203,Organics,3,Glaciolacustrine,3
HUS_P (NTGS 8),NTGS17-BH08-14-C,6.5,7,6.75,0.829303773,Clay,Fine,1,0,50,87,Medium to high,High,16,74,45,7.74,0.0774,1,0.078593785,Organics,3,Glaciolacustrine,3
HUS_P (NTGS 8),NTGS17-BH08-18-C,8.5,9,8.75,0.942008053,Clay,Fine,1,0,50,87,Medium to high,High,16,74,45,15.37,0.1537,1,0.154678249,Organics,3,Glaciolacustrine,3
