Borehole ID,VRM,Slope,Organic cover (m),Mineral soil (logs; first 3 m),Surficial materials (Rampton 1987 map),Holocene deposits,Holocene conf,Deposit.type,Deposit.type.conf,Notes
174-26,Rugged,Rolling,0.1,Gravel,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,Near ice wedge polygons and thermokarst lakes
174-27,Smooth,Rolling,0.1,Gravel,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,Near ice wedge polygons and thermokarst lakes
174-28,Moderately rugged,Rolling,0.1,Till/gravel,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Near ice wedge polygons and thermokarst lakes
174-29,Rugged,Rolling,0.1,Sand,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,Near ice wedge polygons and thermokarst lakes
174-30,Rugged,Moderately steep,0.1,Sand/clay,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,2,Near ice wedge polygons and thermokarst lakes
174-31,Rugged,Undulating,0.1,Gravel,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,Near ice wedge polygons and thermokarst lakes
174-32,Moderately rugged,Undulating,0.1,Sand/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,Near ice wedge polygons and thermokarst lakes
174-33,Rugged,Undulating,0.2,Gravel,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,Near ice wedge polygons and thermokarst lakes
174-34,Smooth,Flat,0.1,Till/clay,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Near ice wedge polygons and thermokarst lakes
174-36,Smooth,Undulating,0.1,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
174-37,Moderately rugged,Undulating,0.1,Silt/till,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
174-38,Rugged,Undulating,0.1,Gravel/till,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,2,Near ice wedge polygons and thermokarst lakes
174-39,Moderately rugged,Undulating,0.1,Clay/till,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
174-41,Smooth,Undulating,0.1,Gravel,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,Near ice wedge polygons and thermokarst lakes
174-48,Rugged,Rolling,0,Gravel/till,Glaciofluvial (ice-contact),Colluvial,2,Moraine,3,
174-49,Moderately rugged,Rolling,0.2,Sand,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,
174-50,Rugged,Rolling,0.1,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,
174-51,Smooth,Undulating,0.2,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,3,
174-52,Rugged,Rolling,0,Till,Glaciofluvial (ice-contact),Colluvial,2,Moraine,3,
174-53,Moderately rugged,Rolling,0.1,Clay/gravel,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,
174-54,Rugged,Rolling,0.2,Silt/sand/till,Glaciofluvial (ice-contact),Organics,3,Moraine,1,
174-55,Rugged,Undulating,0.1,Gravel,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,
174-56,Rugged,Steep,0.1,Gravel/silt,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,2,
174-57,Rugged,Rolling,0.1,Gravel/till,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,2,
174-58,Rugged,Rolling,0.1,Gravel,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,
174-60,Moderately rugged,Undulating,0.1,Silt/till,Glaciofluvial (ice-contact),Organics,2,Glaciolacustrine,2,Within ice wedge polygons
174-62,Smooth,Rolling,0.2,Gravel/till,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,2,
177 South - 12,Moderately rugged,Rolling,0.1,Sand,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,Near ice wedge polygons and thermokarst lakes
177 South - 15,Smooth,Flat,0.1,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
177 South - 2,Moderately rugged,Rolling,0.1,Sand/clay,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,Near ice wedge polygons and thermokarst lakes
177 South - 3,Smooth,Undulating,0.2,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
177 South - 5,Smooth,Undulating,0.1,Clay/sand,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons and thermokarst lakes
177 South - 6,Smooth,Undulating,0.2,Sand,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,Near ice wedge polygons and thermokarst lakes
177 South - 7,Smooth,Undulating,0.1,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
177 South - 8,Smooth,Undulating,0.1,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
19A-01,Smooth,Undulating,0,Clay/sand,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,2,Near ice wedge polygons
19A-02,Moderately rugged,Undulating,0.2,Sand,Glaciofluvial (ice-contact),Organics,3,Glaciofluvial,3,Near ice wedge polygons
19A-03,Smooth,Undulating,0.2,Silt,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons
19A-04,Smooth,Flat,0.2,Silt/till,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,2,Near ice wedge polygons
19A-05,Smooth,Undulating,0,None,Glaciofluvial (ice-contact),None,2,Glaciolacustrine,2,"Near ice wedge polygons. Only ice, assumed to be glaciolacustrine."
19A-06,Smooth,Undulating,0.1,Clay,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons
