,X,Borehole.ID,Top.depth,Bottom.depth,Depth,Thickness,Material,Material.simplified,ASTM,Reinterpreted,Frozen,Visible.ice,Mid_VI,Cryostructures,VRM,Slope,Organic.cover..m.,Mineral.soil..logs..first.3.m.,Surficial.materials..Rampton.1987.map.,Holocene.deposits,Holocene.conf,Deposit.type,Deposit.type.conf,Notes,fittedvalues_beta,fittedvalues_beta_lwrCI_reg,fittedvalues_beta_uprCI_reg,fittedvalues_beta_lwrCI_siteid,fittedvalues_beta_uprCI_siteid
93,1161,GSC4 - 8,1.5,3.1,2.3,1.5,Clay,Fine,CL-ML,No,Yes,Low,8,,Smooth,Undulating,0.2,Silt/clay,Hummocky,Organics,3,Glaciolacustrine,3,,0.064080567,0.00840782,0.357706609,2.13E-06,0.999437656
541,1159,GSC4 - 8,0,0.2,0.1,0.2,Organics,Organics,PEAT,No,Yes,Medium to high,45,Vx,Smooth,Undulating,0.2,Silt/clay,Hummocky,Organics,3,Glaciolacustrine,3,,0.175786318,0.017620052,0.70167526,2.80E-06,0.999910813
857,1160,GSC4 - 8,0.2,1.5,0.85,1.3,Silt,Fine,ML,No,Yes,Medium to high,45,,Smooth,Undulating,0.2,Silt/clay,Hummocky,Organics,3,Glaciolacustrine,3,,0.126801483,0.014477846,0.576409467,3.06E-06,0.999821696
94,1162,GSC4 - 9,1.3,3.1,2.2,1.8,Clay,Fine,CL-ML,No,Yes,No visible ice,0,Nbn,Smooth,Undulating,1.3,Clay,Hummocky,Organics,3,Glaciolacustrine,3,,0.055753244,0.007661338,0.315280216,2.04E-06,0.999275953
542,1165,GSC4 - 9,0,1.3,0.65,1.3,Organics,Organics,PEAT,No,Yes,Medium to high,45,Vx,Smooth,Undulating,1.3,Clay,Hummocky,Organics,3,Glaciolacustrine,3,,0.173009882,0.017051303,0.700853799,2.68E-06,0.999911341
858,1163,GSC4 - 9,3.1,4.6,3.85,1.5,Silt,Fine,ML,No,Yes,Medium to high,45,Vx,Smooth,Undulating,1.3,Clay,Hummocky,Organics,3,Glaciolacustrine,3,,0.115605245,0.012096396,0.57117891,2.39E-06,0.999827383
859,1164,GSC4 - 9,4.6,5.2,4.9,0.6,Silt,Fine,ML,No,Yes,Low,8,,Smooth,Undulating,1.3,Clay,Hummocky,Organics,3,Glaciolacustrine,3,,0.058825896,0.007188974,0.353459113,1.72E-06,0.999453227
860,1185,GSC4 - P4,0,3.1,1.55,3.1,Silt,Fine,ML,No,Yes,Medium to high,45,Vx,Smooth,Undulating,0,Silt,Hummocky,None,2,Glaciolacustrine,3,,0.124108868,0.013883849,0.575190489,2.89E-06,0.99982304
861,1186,GSC4 - P4,6.1,7.1,6.6,1,Silt,Fine,ML,No,Yes,Low,8,,Smooth,Undulating,0,Silt,Hummocky,None,2,Glaciolacustrine,3,,0.055611422,0.006488615,0.350694313,1.50E-06,0.999463175
862,1187,GSC4 - P4,3.4,6.1,4.75,2.8,Silt,Fine,ML,No,Yes,Medium to high,45,Vx,Smooth,Undulating,0,Silt,Hummocky,None,2,Glaciolacustrine,3,,0.112418005,0.01146058,0.569606581,2.22E-06,0.999829054
863,1188,GSC4 - P4,7.1,7.6,7.35,0.5,Silt,Fine,ML,No,Yes,Medium to high,45,,Smooth,Undulating,0,Silt,Hummocky,None,2,Glaciolacustrine,3,,0.103638536,0.009803563,0.565056514,1.80E-06,0.999833789
1013,1193,I401A - 13,11.9,13.7,12.8,1.8,Clay,Fine,CL,No,Yes,No visible ice,0,Nbn,Rugged,Undulating,0,Sand/till,Colluvial,Colluvial,2,Moraine,2,,0.190976434,0.023276857,0.691601801,4.09E-06,0.999711372
1219,1192,I401A - 13,3.4,4.7,4.05,1.3,Sand,Coarse,SC,No,Yes,No visible ice,0,Nbn/Nf,Rugged,Undulating,0,Sand/till,Colluvial,Colluvial,2,Moraine,2,,0.315031133,0.071063458,0.716569192,1.91E-05,0.999702235
1220,1194,I401A - 13,4.7,11.9,8.3,7.2,Sand,Coarse,SC,No,Yes,No visible ice,0,Nbn,Rugged,Undulating,0,Sand/till,Colluvial,Colluvial,2,Moraine,2,,0.283795924,0.055804516,0.71037513,1.35E-05,0.999715597
470,1199,I401A - 20,0,1.1,0.55,1.1,Coarse till,Coarse,SP-SM,No,Yes,No visible ice,0,Nf,Rugged,Flat,0,Till/silt,Colluvial,Colluvial,1,Glaciolacustrine,1,,0.455619115,0.210194284,0.698255015,0.000759311,0.996859315
499,1198,I401A - 20,2.6,3.8,3.2,1.2,Gravel,Coarse,GW-GM,No,Yes,No visible ice,0,Nf,Rugged,Flat,0,Till/silt,Colluvial,Colluvial,1,Glaciolacustrine,1,,0.432685487,0.184728753,0.694259503,0.000611259,0.99694771
675,1197,I401A - 20,4.7,5.6,5.15,0.9,Sand,Coarse,SM,No,Yes,Low,8,Vx,Rugged,Flat,0,Till/silt,Colluvial,Colluvial,1,Glaciolacustrine,1,,0.453211966,0.181946511,0.730495001,0.00054901,0.997674986
676,1201,I401A - 20,4.1,4.7,4.4,0.6,Sand,Coarse,SM,No,Yes,No visible ice,0,Nf,Rugged,Flat,0,Till/silt,Colluvial,Colluvial,1,Glaciolacustrine,1,,0.42238861,0.174008179,0.692440509,0.000554073,0.996986918
864,1200,I401A - 20,1.1,2.6,1.85,1.5,Silt,Fine,ML,No,Yes,Medium to high,45,Vx,Rugged,Flat,0,Till/silt,Colluvial,Colluvial,1,Glaciolacustrine,1,,0.566801655,0.185974321,0.863680605,0.000400987,0.99919779
95,1232,I401A - 33,4.4,5.9,5.15,1.5,Clay,Fine,CL-ML,No,Yes,No visible ice,0,Nbn,Rugged,Undulating,0,Silt,Colluvial,Colluvial,2,Glaciolacustrine,2,,0.139893645,0.025567596,0.494015459,1.91E-05,0.99850503
96,1233,I401A - 33,7.2,7.6,7.4,0.4,Clay,Fine,CL-ML,No,Yes,No visible ice,0,Nbn,Rugged,Undulating,0,Silt,Colluvial,Colluvial,2,Glaciolacustrine,2,,0.130668596,0.022376276,0.490006193,1.59E-05,0.998540889
97,1234,I401A - 33,5.9,7.2,6.55,1.3,Clay,Fine,CL-ML,No,Yes,Medium to high,45,Vx,Rugged,Undulating,0,Silt,Colluvial,Colluvial,2,Glaciolacustrine,2,,0.266455953,0.040537257,0.73886035,2.29E-05,0.999642417
677,1235,I401A - 33,3.1,4.4,3.75,1.4,Sand,Coarse,SM,No,Yes,No visible ice,0,,Rugged,Undulating,0,Silt,Colluvial,Colluvial,2,Glaciolacustrine,2,,0.196724511,0.051151341,0.510885159,4.90E-05,0.998575354
865,1236,I401A - 33,0,3.1,1.55,3.1,Silt,Fine,ML,No,Yes,No visible ice,0,Nf,Rugged,Undulating,0,Silt,Colluvial,Colluvial,2,Glaciolacustrine,2,,0.155781732,0.031615593,0.500431671,2.57E-05,0.998445817
98,1238,I401A - 34,3,3.8,3.4,0.8,Clay,Fine,CL-ML,No,Yes,Medium to high,45,Vx,Rugged,Undulating,0,Till/clay,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.288590888,0.048664354,0.743170176,2.96E-05,0.99963004
99,1239,I401A - 34,2.3,3,2.65,0.7,Clay,Fine,CL-ML,No,Yes,No visible ice,0,,Rugged,Undulating,0,Till/clay,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.150776739,0.029633796,0.49847108,2.35E-05,0.998464154
100,1240,I401A - 34,3.8,6.1,4.95,2.3,Clay,Fine,CL-ML,No,Yes,Low,8,,Rugged,Undulating,0,Till/clay,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.160085546,0.028509651,0.542004592,2.05E-05,0.998834937
945,1237,I401A - 34,0,2.3,1.15,2.3,Till,Till,GC,No,Yes,No visible ice,0,Nf,Rugged,Undulating,0,Till/clay,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.116254917,0.022089001,0.425037001,1.30E-05,0.998365622
101,1242,I401A - 35,2.4,6.1,4.25,3.7,Clay,Fine,CL-ML,No,Yes,No visible ice,0,Nbn,Rugged,Flat,0,Sand/clay,Colluvial,Colluvial,2,Glaciolacustrine,2,,0.143733718,0.026964701,0.49561941,2.06E-05,0.998490442
102,1243,I401A - 35,1.5,2.4,1.95,0.9,Clay,Fine,CL,No,Yes,Low,8,Vx/Vr,Rugged,Flat,0,Sand/clay,Colluvial,Colluvial,2,Glaciolacustrine,2,,0.174738503,0.034011176,0.547308969,2.62E-05,0.998796594
103,1244,I401A - 35,0.5,1.5,1,1,Clay,Fine,CL,No,Yes,No visible ice,0,Nbn,Rugged,Flat,0,Sand/clay,Colluvial,Colluvial,2,Glaciolacustrine,2,,0.158334627,0.032653997,0.501411966,2.69E-05,0.998436566
678,1241,I401A - 35,0,0.5,0.25,0.5,Sand,Coarse,SC-SM,No,Yes,No visible ice,0,Nf,Rugged,Flat,0,Sand/clay,Colluvial,Colluvial,2,Glaciolacustrine,2,,0.216839354,0.06250407,0.517118448,6.53E-05,0.998520519
104,1254,I401A - 43,3,4.6,3.8,1.6,Clay,Fine,CL-ML,No,Yes,No visible ice,0,Nbn,Rugged,Flat,0,Silt,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.145686434,0.027690821,0.496421421,2.14E-05,0.998483094
105,1256,I401A - 43,4.6,6.1,5.35,1.5,Clay,Fine,CL-ML,No,Yes,Medium to high,45,Vx,Rugged,Flat,0,Silt,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.274759751,0.043467478,0.740507689,2.52E-05,0.999637751
866,1255,I401A - 43,1.5,2.1,1.8,0.6,Silt,Fine,ML,No,Yes,Medium to high,45,Vx,Rugged,Flat,0,Silt,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.300243096,0.053363587,0.745341385,3.38E-05,0.99962359
867,1257,I401A - 43,0,1.5,0.75,1.5,Silt,Fine,ML,No,Yes,Low,8,Nbe,Rugged,Flat,0,Silt,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.180888868,0.036487601,0.549427783,2.89E-05,0.998780906
868,1258,I401A - 43,2.1,3,2.55,0.9,Silt,Fine,ML,No,Yes,Medium to high,45,,Rugged,Flat,0,Silt,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.294747668,0.05110975,0.744325137,3.17E-05,0.999626627
1014,1271,I401A - 49,5.6,10.2,7.9,4.6,Clay,Fine,CL,No,Yes,No visible ice,0,Nbn,Rugged,Undulating,0,Sand/till,Colluvial,Colluvial,3,Moraine,2,,0.21893547,0.031090411,0.699002597,6.11E-06,0.999695681
1015,1272,I401A - 49,4.1,5.6,4.85,1.5,Clay,Fine,CL,No,Yes,Low,8,,Rugged,Undulating,0,Sand/till,Colluvial,Colluvial,3,Moraine,2,,0.266319689,0.040921716,0.74177724,8.27E-06,0.999755486
1221,1274,I401A - 49,0,1.1,0.55,1.1,Sand,Coarse,SC,No,Yes,No visible ice,0,Nf,Rugged,Undulating,0,Sand/till,Colluvial,Colluvial,3,Moraine,2,,0.342091057,0.086432989,0.721609601,2.55E-05,0.99969076
1222,1275,I401A - 49,2.6,4.1,3.35,1.5,Sand,Coarse,SC,No,Yes,Low,8,Vx/Nbn,Rugged,Undulating,0,Sand/till,Colluvial,Colluvial,3,Moraine,2,,0.354208791,0.081049498,0.754623675,2.14E-05,0.99976675
1380,1273,I401A - 49,1.1,2.6,1.85,1.5,Till,Till,GC,No,Yes,No visible ice,0,Nbn,Rugged,Undulating,0,Sand/till,Colluvial,Colluvial,3,Moraine,2,,0.195884755,0.030335578,0.640832216,4.91E-06,0.999659815
106,1280,I401A - 52,4.1,5.6,4.85,1.5,Clay,Fine,CL-ML,No,Yes,No visible ice,0,Nbn,Rugged,Rolling,0,Silt/clay,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.141164031,0.026025284,0.494550097,1.96E-05,0.998500183
107,1281,I401A - 52,2.6,3.4,3,0.8,Clay,Fine,CL-ML,No,Yes,No visible ice,0,Nbn,Rugged,Rolling,0,Silt/clay,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.149212216,0.029028866,0.497847262,2.28E-05,0.998469943
108,1283,I401A - 52,1.1,2.3,1.7,1.2,Clay,Fine,CL-ML,No,Yes,No visible ice,0,Nbn,Rugged,Rolling,0,Silt/clay,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.155091339,0.031337981,0.500164317,2.54E-05,0.99844833
109,1284,I401A - 52,2.3,2.6,2.45,0.3,Clay,Fine,CL-ML,No,Yes,Low,8,Vx,Rugged,Rolling,0,Silt/clay,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.172224938,0.033027888,0.546425619,2.51E-05,0.998803071
110,1285,I401A - 52,3.4,4.1,3.75,0.7,Clay,Fine,CL-ML,No,Yes,Low,8,Vx,Rugged,Rolling,0,Silt/clay,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.165823794,0.030598187,0.544127554,2.26E-05,0.998819749
679,1286,I401A - 52,5.6,10.2,7.9,4.6,Sand,Coarse,SC-SM,No,Yes,No visible ice,0,Nf,Rugged,Rolling,0,Silt/clay,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.174740601,0.040217633,0.503490026,3.49E-05,0.998637749
869,1282,I401A - 52,0,1.1,0.55,1.1,Silt,Fine,ML,No,Yes,No visible ice,0,Nbn/Nf,Rugged,Rolling,0,Silt/clay,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.160448536,0.033528042,0.502214018,2.79E-05,0.998428957
111,1307,I401A - 57,0,3.8,1.9,3.8,Clay,Fine,CL,No,Yes,No visible ice,0,Nf,Rugged,Undulating,0,Clay,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.154174704,0.030971498,0.499807845,2.50E-05,0.998451675
112,1308,I401A - 57,7.6,9.1,8.35,1.5,Clay,Fine,CL,No,Yes,No visible ice,0,Nbn,Rugged,Undulating,0,Clay,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.126931358,0.021148796,0.488313748,1.47E-05,0.998555771
500,1305,I401A - 57,4.3,6.1,5.2,1.8,Gravel,Coarse,GP-GC,No,Yes,No visible ice,0,Nf,Rugged,Undulating,0,Clay,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.188814552,0.047043884,0.508301693,4.35E-05,0.998597472
680,1306,I401A - 57,6.1,7.6,6.85,1.5,Sand,Coarse,SM,No,Yes,No visible ice,0,Nbn,Rugged,Undulating,0,Clay,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.180113093,0.042751569,0.505361356,3.80E-05,0.998622225
113,1310,I401A - 59,5.8,9.1,7.45,3.3,Clay,Fine,CL-ML,No,Yes,No visible ice,0,Nbn,Rugged,Undulating,0,Silt,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.130469591,0.02230997,0.489917111,1.58E-05,0.998541676
681,1311,I401A - 59,3,5.8,4.4,2.8,Sand,Coarse,SM,No,Yes,No visible ice,0,Nf,Rugged,Undulating,0,Silt,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.193148107,0.049269699,0.509727118,4.65E-05,0.998585312
870,1309,I401A - 59,0,3,1.5,3,Silt,Fine,ML,No,Yes,No visible ice,0,Nf,Rugged,Undulating,0,Silt,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.156012419,0.031708658,0.500520789,2.58E-05,0.998444978
114,1312,I401A - 60,1.8,3,2.4,1.2,Clay,Fine,CL,No,Yes,Medium to high,45,,Rugged,Undulating,0,Clay,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.295842064,0.051553191,0.7445286,3.21E-05,0.999626021
115,1316,I401A - 60,0,1.8,0.9,1.8,Clay,Fine,CL-ML,No,Yes,Medium to high,45,Vx,Rugged,Undulating,0,Clay,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.306914124,0.056191977,0.746557367,3.63E-05,0.999619912
682,1315,I401A - 60,6.7,10.7,8.7,4,Sand,Coarse,SC,No,Yes,No visible ice,0,Nf,Rugged,Undulating,0,Clay,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.170732653,0.038384246,0.502064183,3.27E-05,0.998649459
871,1314,I401A - 60,3,4.6,3.8,1.6,Silt,Fine,ML,No,Yes,Medium to high,45,,Rugged,Undulating,0,Clay,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.285720178,0.047552368,0.742625485,2.87E-05,0.999631635
946,1313,I401A - 60,4.6,6.7,5.65,2.1,Till,Till,GC-GM,No,Yes,No visible ice,0,Nf,Rugged,Undulating,0,Clay,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.101000564,0.01689784,0.417216145,8.99E-06,0.998443079
116,1321,I401A - 61,6.1,7,6.55,0.9,Clay,Fine,CL-ML,No,Yes,No visible ice,0,Nf,Rugged,Undulating,0,Silt,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.134091304,0.023533366,0.491520681,1.71E-05,0.998527445
683,1317,I401A - 61,4.6,6.1,5.35,1.5,Sand,Coarse,SM,No,Yes,No visible ice,0,Nf,Rugged,Undulating,0,Silt,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.188010367,0.046637323,0.508034411,4.30E-05,0.998599741
872,1318,I401A - 61,0,1.1,0.55,1.1,Silt,Fine,ML,No,Yes,Low,8,Nbe,Rugged,Undulating,0,Silt,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.181930168,0.036916869,0.549780747,2.94E-05,0.998778271
873,1319,I401A - 61,1.4,4.6,3,3.2,Silt,Fine,ML,No,Yes,No visible ice,0,Nbn,Rugged,Undulating,0,Silt,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.149212216,0.029028866,0.497847262,2.28E-05,0.998469943
874,1320,I401A - 61,1.1,1.4,1.25,0.3,Silt,Fine,ML,No,Yes,Medium to high,45,Vs,Rugged,Undulating,0,Silt,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.304310016,0.055075671,0.746084941,3.53E-05,0.999621346
117,1325,I401A - 64,2.3,6.1,4.2,3.8,Clay,Fine,CL-ML,No,Yes,No visible ice,0,Nbn,Rugged,Undulating,0,Clay,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.143949606,0.027044458,0.495708521,2.07E-05,0.998489627
118,1326,I401A - 64,0,1.5,0.75,1.5,Clay,Fine,CL-ML,No,Yes,No visible ice,0,Nbn,Rugged,Undulating,0,Clay,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.159506216,0.033136823,0.501857551,2.74E-05,0.998432343
119,1327,I401A - 64,1.5,2.3,1.9,0.8,Clay,Fine,CL-ML,No,Yes,Medium to high,45,Vs,Rugged,Undulating,0,Clay,Colluvial,Colluvial,1,Glaciolacustrine,2,,0.299506997,0.053057742,0.745206039,3.35E-05,0.999623996
120,1332,I401A - 68,1.8,6.1,3.95,4.3,Clay,Fine,CL-ML,No,Yes,Low,8,Nbe,Rugged,Undulating,0,Sand/clay,Colluvial,Colluvial,2,Glaciolacustrine,2,,0.164856103,0.030240086,0.543773837,2.22E-05,0.998822294
684,1333,I401A - 68,0,1.8,0.9,1.8,Sand,Coarse,SC-SM,No,Yes,No visible ice,0,Nf,Rugged,Undulating,0,Sand/clay,Colluvial,Colluvial,2,Glaciolacustrine,2,,0.21299423,0.060231319,0.515961182,6.19E-05,0.99853086
1130,1357,I401A - P3,2.1,3.7,2.9,1.6,Coarse till,Coarse,SW-SM,No,Yes,Low,8,Vx/Nf,Rugged,Undulating,0,Sand/till,Colluvial,Colluvial,2,Moraine,2,,0.357826013,0.083107646,0.75521725,2.22E-05,0.999765613
1223,1354,I401A - P3,0,2.1,1.05,2.1,Sand,Coarse,SM,No,Yes,No visible ice,0,Nf,Rugged,Undulating,0,Sand/till,Colluvial,Colluvial,2,Moraine,2,,0.338156589,0.08406604,0.720892921,2.45E-05,0.999692426
1224,1355,I401A - P3,3.7,8.2,5.95,4.6,Sand,Coarse,SC-SM,No,Yes,No visible ice,0,Nf,Rugged,Undulating,0,Sand/till,Colluvial,Colluvial,2,Moraine,2,,0.300836607,0.063815684,0.713809989,1.64E-05,0.999708284
1225,1356,I401A - P3,8.2,9.3,8.75,1.1,Sand,Coarse,SC-SM,No,Yes,Medium to high,45,Vx,Rugged,Undulating,0,Sand/till,Colluvial,Colluvial,2,Moraine,2,,0.477787826,0.091585489,0.877393177,1.75E-05,0.999931335
121,1376,I401A - P6,0,1.2,0.6,1.2,Clay,Fine,CL-ML,No,Yes,Medium to high,45,Vs,Rugged,Undulating,0,Clay,Colluvial,Colluvial,1,Glaciolacustrine,3,,0.127775166,0.014696001,0.576844591,3.12E-06,0.999821214
122,1377,I401A - P6,1.5,9.1,5.3,7.6,Clay,Fine,CL,No,Yes,No visible ice,0,Nbn,Rugged,Undulating,0,Clay,Colluvial,Colluvial,1,Glaciolacustrine,3,,0.050300051,0.006355403,0.310528616,1.58E-06,0.999299791
123,1378,I401A - P6,1.2,1.5,1.35,0.3,Clay,Fine,CL-ML,No,Yes,Medium to high,45,,Rugged,Undulating,0,Clay,Colluvial,Colluvial,1,Glaciolacustrine,3,,0.124873139,0.014051067,0.575538862,2.94E-06,0.999822657
124,1379,I401A - P7,2.7,3,2.85,0.3,Clay,Fine,CL,No,Yes,Low,8,Vr,Rugged,Undulating,0,Gravel/clay,Colluvial,Colluvial,3,Glaciolacustrine,3,,0.062933738,0.008133967,0.356806208,2.04E-06,0.999440986
125,1380,I401A - P7,3,6.1,4.55,3.1,Clay,Fine,CL,No,Yes,Medium to high,45,Vx/Vr,Rugged,Undulating,0,Gravel/clay,Colluvial,Colluvial,3,Glaciolacustrine,3,,0.113119581,0.011598955,0.56995611,2.26E-06,0.999828684
126,1381,I401A - P7,6.1,8.2,7.15,2.1,Clay,Fine,CL,No,Yes,Low,8,Vx,Rugged,Undulating,0,Gravel/clay,Colluvial,Colluvial,3,Glaciolacustrine,3,,0.054607318,0.006276877,0.349801951,1.43E-06,0.999466355
127,1382,I401A - P7,8.2,10.7,9.45,2.5,Clay,Fine,CL,No,Yes,Medium to high,45,Vs/Vr,Rugged,Undulating,0,Gravel/clay,Colluvial,Colluvial,3,Glaciolacustrine,3,,0.09699559,0.008640256,0.561373404,1.51E-06,0.999837518
1131,1383,I401A - P9,0,1.5,0.75,1.5,Coarse till,Coarse,SW-SC,No,Yes,No visible ice,0,Nf,Rugged,Undulating,0,Till,Colluvial,Colluvial,1,Moraine,3,,0.144586255,0.022476157,0.544480482,2.10E-06,0.999855329
1132,1384,I401A - P9,1.5,4.6,3.05,3.1,Coarse till,Coarse,SP-SC,No,Yes,No visible ice,0,Nf,Rugged,Undulating,0,Till,Colluvial,Colluvial,1,Moraine,3,,0.134895659,0.019604494,0.540410618,1.74E-06,0.99985888
1226,1385,I401A - P9,7.5,7.6,7.55,0.1,Sand,Coarse,SC-SM,No,Yes,Low,8,Vx,Rugged,Undulating,0,Till,Colluvial,Colluvial,1,Moraine,3,,0.134173385,0.016535261,0.579529454,1.27E-06,0.999895499
1227,1386,I401A - P9,6.7,7.5,7.1,0.8,Sand,Coarse,SC-SM,No,Yes,No visible ice,0,Nf,Rugged,Undulating,0,Till,Colluvial,Colluvial,1,Moraine,3,,0.119166783,0.015396986,0.533231331,1.25E-06,0.999864922
128,1388,KP7 - P1,0.2,1.5,0.85,1.4,Clay,Fine,CL,No,Yes,No visible ice,0,Nbn,Rugged,Rolling,0.2,Clay,Hummocky,Organics,3,Glaciolacustrine,3,,0.058298058,0.008310244,0.317361677,2.28E-06,0.999265321
129,1390,KP7 - P1,1.5,3,2.25,1.5,Clay,Fine,CL,No,Yes,Medium to high,45,Vx,Rugged,Rolling,0.2,Clay,Hummocky,Organics,3,Glaciolacustrine,3,,0.121465477,0.013313893,0.573970596,2.73E-06,0.999824373
130,1392,KP7 - P1,3,4.3,3.65,1.3,Clay,Fine,CL,No,Yes,Medium to high,45,,Rugged,Rolling,0.2,Clay,Hummocky,Organics,3,Glaciolacustrine,3,,0.116324105,0.012242353,0.571528122,2.43E-06,0.99982701
471,1389,KP7 - P1,7.8,9.8,8.8,2,Coarse till,Coarse,SW-SC,No,Yes,Low,8,Vx,Rugged,Rolling,0.2,Clay,Hummocky,Organics,3,Glaciolacustrine,3,,0.072487825,0.010669088,0.360275674,2.86E-06,0.99950796
685,1391,KP7 - P1,9.8,15.2,12.5,5.5,Sand,Coarse,SC-SM,No,Yes,No visible ice,0,,Rugged,Rolling,0.2,Clay,Hummocky,Organics,3,Glaciolacustrine,3,,0.055704326,0.007736043,0.311851935,2.01E-06,0.999391935
947,1387,KP7 - P1,4.3,7.5,5.9,3.2,Till,Till,GC,No,Yes,No visible ice,0,Nbn,Rugged,Rolling,0.2,Clay,Hummocky,Organics,3,Glaciolacustrine,3,,0.035174401,0.004147295,0.248125506,7.38E-07,0.999271537
131,1394,KP7 - P2,0.3,1.5,0.9,1.2,Clay,Fine,CL-ML,No,Yes,Medium to high,45,Vx,Rugged,Undulating,0.3,Clay/till,Hummocky,Organics,3,Glaciolacustrine,2,,0.306914124,0.056191977,0.746557367,3.63E-05,0.999619912
132,1395,KP7 - P2,2.3,3.1,2.7,0.8,Clay,Fine,CL,No,Yes,No visible ice,0,Nbn,Rugged,Undulating,0.3,Clay/till,Hummocky,Organics,3,Glaciolacustrine,2,,0.150552412,0.029546635,0.498381962,2.34E-05,0.998464982
472,1393,KP7 - P2,1.5,2.3,1.9,0.8,Coarse till,Coarse,SP-SC,No,Yes,Low,8,,Rugged,Undulating,0.3,Clay/till,Hummocky,Organics,3,Glaciolacustrine,2,,0.233176422,0.062482387,0.561601872,6.01E-05,0.998869808
133,1396,KP7 - P3,0.3,3.7,2,3.4,Clay,Fine,CL,No,Yes,Low,8,Vx,Smooth,Undulating,0.3,Clay,Hummocky,Organics,3,Glaciolacustrine,3,,0.064714288,0.008561028,0.358198161,2.19E-06,0.999435831
134,1397,KP7 - P3a,0.5,3.1,1.8,2.6,Clay,Fine,CL,No,Yes,Medium to high,45,Vx,Smooth,Undulating,0.5,Clay,Hummocky,Organics,3,Glaciolacustrine,3,,0.123159178,0.013677583,0.574754917,2.83E-06,0.999823517
135,1398,KP7 - P3a,3.1,6.1,4.6,3.1,Clay,Fine,CL,No,Yes,Medium to high,45,,Smooth,Undulating,0.5,Clay,Hummocky,Organics,3,Glaciolacustrine,3,,0.11294383,0.011564207,0.569868734,2.25E-06,0.999828776
136,1405,PW10 - 12,0.2,1.2,0.7,1.1,Clay,Fine,CL,No,Yes,Medium to high,45,Vx,Smooth,Rolling,0.2,Clay/sand,Hummocky,Organics,3,Glaciolacustrine,2,,0.308407746,0.056839386,0.746827063,3.69E-05,0.99961909
137,1406,PW10 - 12,1.2,1.8,1.5,0.6,Clay,Fine,CL,No,Yes,Medium to high,45,,Smooth,Rolling,0.2,Clay/sand,Hummocky,Organics,3,Glaciolacustrine,2,,0.302457572,0.05429113,0.745747139,3.46E-05,0.999622368
138,1407,PW10 - 12,3.1,5.6,4.35,2.5,Clay,Fine,CL,No,Yes,Medium to high,45,Vx,Smooth,Rolling,0.2,Clay/sand,Hummocky,Organics,3,Glaciolacustrine,2,,0.281801063,0.046062753,0.741875303,2.74E-05,0.999633817
139,1408,PW10 - 12,4.6,6.1,5.35,1.5,Clay,Fine,CL,No,Yes,No visible ice,0,Nbn,Smooth,Rolling,0.2,Clay/sand,Hummocky,Organics,3,Glaciolacustrine,2,,0.13905205,0.025266835,0.493659041,1.88E-05,0.998508253
686,1409,PW10 - 12,1.8,3.1,2.45,1.2,Sand,Coarse,SC,No,Yes,No visible ice,0,Nbn,Smooth,Rolling,0.2,Clay/sand,Hummocky,Organics,3,Glaciolacustrine,2,,0.204026739,0.055120302,0.51320088,5.45E-05,0.998555228
140,1410,PW10 - 14,1.5,3.1,2.3,1.5,Clay,Fine,CH,No,Yes,Medium to high,45,,Rugged,Undulating,0.2,Clay,Hummocky,Organics,3,Glaciolacustrine,3,,0.121278532,0.013274076,0.573883427,2.72E-06,0.999824468
