,X,Borehole.ID,Top.depth,Bottom.depth,Depth,Thickness,Material,Material.simplified,ASTM,Reinterpreted,Frozen,Visible.ice,Mid_VI,Cryostructures,VRM,Slope,Organic.cover..m.,Mineral.soil..logs..first.3.m.,Surficial.materials..Rampton.1987.map.,Holocene.deposits,Holocene.conf,Deposit.type,Deposit.type.conf,Notes,fittedvalues_beta,fittedvalues_beta_lwrCI_reg,fittedvalues_beta_uprCI_reg,fittedvalues_beta_lwrCI_siteid,fittedvalues_beta_uprCI_siteid
1059,87,174-02,0.3,1.8,1.05,1.5,Coarse till,Coarse,SP,No,Yes,Low,8,Vx,Moderately rugged,Undulating,0.1,Silt/till/sand,Glaciofluvial (ice-contact),Organics,3,Moraine,1,Near ice wedge polygons and thermokarst lakes,0.644914038,0.291914479,0.871295741,0.000307695,0.999490032
1060,88,174-02,5.5,6,5.75,0.5,Coarse till,Coarse,SP,No,Yes,Medium to high,45,Vr,Moderately rugged,Undulating,0.1,Silt/till/sand,Glaciofluvial (ice-contact),Organics,3,Moraine,1,Near ice wedge polygons and thermokarst lakes,0.756388811,0.329628945,0.940587569,0.000266621,0.999848704
1207,85,174-02,1.8,3.5,2.65,1.7,Sand,Coarse,SM,No,Yes,Low,8,Nf,Moderately rugged,Undulating,0.1,Silt/till/sand,Glaciofluvial (ice-contact),Organics,3,Moraine,1,Near ice wedge polygons and thermokarst lakes,0.631965951,0.272249836,0.870011127,0.000269914,0.99949877
1257,86,174-02,0.1,0.3,0.2,0.2,Silt,Fine,ML,No,Yes,Low,8,Vx,Moderately rugged,Undulating,0.1,Silt/till/sand,Glaciofluvial (ice-contact),Organics,3,Moraine,1,Near ice wedge polygons and thermokarst lakes,0.566199915,0.187006677,0.865415639,0.000144411,0.99945167
1061,101,174-07,0.1,2,1.05,1.9,Coarse till,Coarse,SP,No,Yes,Low,8,Nf,Rugged,Undulating,0.1,Till/gravel,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Near ice wedge polygons and thermokarst lakes,0.372863886,0.092076315,0.757647295,2.58E-05,0.999760881
1136,99,174-07,2.5,6.1,4.3,3.6,Gravel,Coarse,GP-GM,No,Yes,Medium to high,45,,Rugged,Undulating,0.1,Till/gravel,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Near ice wedge polygons and thermokarst lakes,0.516771893,0.116677672,0.880765425,2.52E-05,0.999927952
1137,102,174-07,2,2.5,2.25,0.5,Gravel,Coarse,GP,No,Yes,Low,8,,Rugged,Undulating,0.1,Till/gravel,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Near ice wedge polygons and thermokarst lakes,0.363079513,0.08616446,0.756072923,2.34E-05,0.999763961
1160,100,174-07,0,0.1,0.05,0.1,Organics,Organics,PEAT,No,Yes,Medium to high,45,Vx,Rugged,Undulating,0.1,Till/gravel,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Near ice wedge polygons and thermokarst lakes,0.553299067,0.095586023,0.925143995,1.34E-05,0.999960126
1062,108,174-09,0.6,1.5,1.05,0.9,Coarse till,Coarse,SP,No,Yes,Low,8,Vx/Vc,Moderately rugged,Rolling,0.1,Silt/till,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Near ice wedge polygons and thermokarst lakes,0.372863886,0.092076315,0.757647295,2.58E-05,0.999760881
1063,110,174-09,1.5,3.7,2.6,2.2,Coarse till,Coarse,SP,No,Yes,No visible ice,0,Nf,Moderately rugged,Rolling,0.1,Silt/till,Glaciofluvial (ice-contact),Organics,3,Moraine,2,Near ice wedge polygons and thermokarst lakes,0.32610301,0.07709842,0.718664045,2.16E-05,0.999697533
