,Borehole.ID,Top.depth,Bottom.depth,Material,ASTM,Reinterpreted,Frozen,Visible.ice,Cryostructures,EI70,EI85,EI100,VRM,Slope,Organic.cover..m.,Mineral.soil..logs..first.3.m.,Surficial.materials..Rampton.1987.map.,Holocene.deposits,Holocene.conf,Deposit.type,Deposit.type.conf,Notes
1349,ENG.YARC03097-01//ITH-10,6.1,6.7,Clay,CL,No,Yes,,,0,0,0,Moderately rugged,Moderately steep,0,Till,Alluvial,None,2,Moraine,3,
1364,ENG.YARC03097-01//ITH-13,2.1,2.5,Clay,CL,No,Yes,,,0,0,0,Smooth,Flat,0,Till/clay,Glaciofluvial (outwash),None,2,Moraine,2,Near ice wedge polygons
1365,ENG.YARC03097-01//ITH-13,2.5,3.3,Clay,CL,No,Yes,,,0,0,0,Smooth,Flat,0,Till/clay,Glaciofluvial (outwash),None,2,Moraine,2,Near ice wedge polygons
1368,ENG.YARC03097-01//TUK_H (NTGS 10),7.1,7.2,Clay,CL,No,Yes,,,0,0,0,Smooth,Rolling,0.6,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,2,
1370,ENG.YARC03097-01//TUK_H (NTGS 10),6.3,6.8,Clay,CL,No,Yes,,,0,0,0,Smooth,Rolling,0.6,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,2,
1372,ENG.YARC03097-01//TUK_H (NTGS 10),4.2,4.6,Clay,CL,No,Yes,,,0,0,0,Smooth,Rolling,0.6,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,2,
1377,ENG.YARC03097-01//TUK_H (NTGS 10),5.6,6.3,Clay,CL,No,Yes,,,0,0,0,Smooth,Rolling,0.6,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,2,
1383,ENG.YARC03097-01//TUK_H (NTGS 10),6.8,7.1,Clay,CL,No,Yes,,,0,0,0,Smooth,Rolling,0.6,Till,Glaciofluvial (ice-contact),Organics,3,Moraine,2,
1389,ENG.YARC03097-01//TVC_H (NTGS 5),2,11.7,Clay,CL,No,Yes,,,0,0,0,Smooth,Undulating,2,Clay/till,Hummocky,Organics,3,Glaciolacustrine,3,
1395,ENG.YARC03097-01//TVC_P (NTGS 4),9,10.1,Clay,CL,No,Yes,,,0,0,0,Smooth,Undulating,4,Silt/clay,Hummocky,Organics,3,Glaciolacustrine,3,Within ice wedge polygons
1397,ENG.YARC03097-01//TVC_P (NTGS 4),6.7,9,Clay,CL,No,Yes,,,0,0,0,Smooth,Undulating,4,Silt/clay,Hummocky,Organics,3,Glaciolacustrine,3,Within ice wedge polygons
1400,ENG.YARC03097-01//TVC_R (NTGS 6),3.9,10.1,Clay,CL,No,Yes,,,0,0,0,Smooth,Flat,1.5,Till/clay,Hummocky,Organics,3,Moraine,3,Within ice wedge polygons
1406,GSC1A - P1,1.5,8,Clay,CL,No,Yes,,,0,0,0,Smooth,Undulating,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
1407,GSC1A - P1,8,10.1,Clay,CL,No,Yes,,,0,0,0,Smooth,Undulating,0,Clay,Hummocky,None,2,Glaciolacustrine,3,
