,Borehole.ID,Top.depth,Bottom.depth,Thickness,Material,ASTM,Reinterpreted,Frozen,Visible.ice,Cryostructures,EI70,EI85,EI100,VRM,Slope,Organic.cover..m.,Mineral.soil..logs..first.3.m.,Surficial.materials..Rampton.1987.map.,Holocene.deposits,Holocene.conf,Deposit.type,Deposit.type.conf,Notes
287,2.45-1-16,0,0.15,0.15,Organics,ORGANICS,No,No,NA,,0,0,0,Moderately rugged,Undulating,0.15,Till/silt,Hummocky,Organics,3,Moraine,3,Near a river and thermokarst lakes
290,2.45-1-19,0,0.15,0.15,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Flat,0.15,Silt,Hummocky,Organics,3,Glaciolacustrine,3,Near a river and thermokarst lakes
292,2.45-1-2,0,0.9,0.9,Organics,ORGANICS,No,No,NA,,0,0,0,Moderately rugged,Undulating,0.9,Silt/till,Hummocky,Organics,3,Glaciolacustrine,2,Near a river and thermokarst lakes
293,2.45-1-2,0.9,2.3,1.4,Silt,,No,No,NA,,0,0,0,Moderately rugged,Undulating,0.9,Silt/till,Hummocky,Organics,3,Glaciolacustrine,2,Near a river and thermokarst lakes
299,2.45-1-22,0,0.05,0.05,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Flat,0.05,Till,Hummocky,Organics,3,Moraine,3,Near a river and thermokarst lakes
300,2.45-1-22,0.05,1.5,1.45,Till,,No,No,NA,,0,0,0,Smooth,Flat,0.05,Till,Hummocky,Organics,3,Moraine,3,Near a river and thermokarst lakes
302,2.45-1-3,0,0.25,0.25,Organics,ORGANICS,No,No,NA,,0,0,0,Moderately rugged,Undulating,0.25,Silt,Hummocky,Organics,3,Glaciolacustrine,3,Near a river and thermokarst lakes
303,2.45-1-3,0.25,0.8,0.55,Silt,,No,No,NA,,0,0,0,Moderately rugged,Undulating,0.25,Silt,Hummocky,Organics,3,Glaciolacustrine,3,Near a river and thermokarst lakes
306,2.45-1-4,0,0.15,0.15,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Rolling,0.15,Silt/sand,Hummocky,Organics,3,Glaciolacustrine,2,Near a river and thermokarst lakes
310,2.45-1-5,0,0.3,0.3,Silt,,No,No,NA,,0,0,0,Smooth,Undulating,0,Silt/till,Hummocky,Colluvial,1,Glaciolacustrine,3,Near a river and thermokarst lakes
311,2.45-1-5,0.3,0.9,0.6,Silt,,No,No,NA,,0,0,0,Smooth,Undulating,0,Silt/till,Hummocky,Colluvial,1,Glaciolacustrine,3,Near a river and thermokarst lakes
314,2.45-1-6,0,0.2,0.2,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Undulating,0.2,Silt,Hummocky,Organics,3,Glaciolacustrine,3,Near a river and thermokarst lakes
318,2.45-1-7,0,0.25,0.25,Organics,ORGANICS,No,No,NA,,0,0,0,Smooth,Undulating,0.25,Silt,Hummocky,Organics,3,Glaciolacustrine,3,Near a river and thermokarst lakes
321,2.45-1-8,0,0.1,0.1,Organics,ORGANICS,No,No,NA,,0,0,0,Moderately rugged,Undulating,0.1,Silt,Hummocky,Organics,3,Glaciolacustrine,3,Near a river and thermokarst lakes
336,307-14-1,0,0.1,0.1,Organics,ORGANICS,No,No,NA,,0,0,0,Moderately rugged,Flat,0.1,Silt,Glaciofluvial (ice-contact),Organics,3,Glaciolacustrine,3,Near ice wedge polygons and thermokarst lakes
